,index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
0,272371,415,7,01/03/2015,0,0,0,0,0,0.0
1,558468,27,7,29/12/2013,0,0,0,0,0,0.0
2,76950,404,3,19/03/2014,657,1,1,0,0,6485.5073
3,77556,683,2,29/01/2013,862,1,0,0,0,6203.4
4,456344,920,3,19/03/2014,591,1,1,0,0,5984.964
5,436466,758,4,26/06/2014,569,1,0,0,0,4317.242
6,646251,563,1,16/02/2015,321,1,1,0,0,3455.6746
7,650464,930,6,22/11/2014,1367,1,0,0,0,7699.765
8,162710,756,4,04/06/2015,0,0,1,a,0,0.0
9,100327,49,2,13/01/2015,546,1,1,0,0,7290.0293
10,374540,787,4,23/07/2015,968,1,0,0,1,7879.2036
11,399143,782,4,19/09/2013,472,1,0,0,0,3974.62
12,44740,897,7,20/04/2014,0,0,0,0,0,0.0
13,674144,933,1,09/12/2013,965,1,0,0,0,7270.3486
14,81595,218,2,07/04/2015,804,1,0,0,1,5961.4185
15,416724,554,3,09/10/2013,499,1,1,0,1,4822.677
16,632687,362,1,12/08/2013,1337,1,1,0,1,12776.309
17,351899,655,3,09/04/2014,560,1,0,0,0,5016.9116
18,515940,785,3,31/12/2014,461,1,0,0,1,3875.5398
19,567411,690,3,19/03/2014,866,1,1,0,0,7926.011
20,274598,1103,7,15/02/2015,0,0,0,0,0,0.0
21,417880,431,1,02/06/2014,1367,1,1,0,0,13447.309
22,453710,127,2,24/09/2013,642,1,1,0,0,6322.3784
23,597622,579,5,29/03/2013,0,0,1,b,1,0.0
24,223346,248,6,03/08/2013,1139,1,0,0,0,8112.748
25,630018,962,6,11/01/2014,0,0,0,0,0,0.0
26,355860,224,2,26/03/2013,515,1,1,0,1,5789.009
27,360080,208,3,19/06/2013,355,1,1,0,1,3211.0112
28,129544,401,1,30/03/2015,1063,1,1,0,0,12327.249
29,422545,503,7,29/09/2013,0,0,0,0,0,0.0
30,174199,221,4,05/03/2015,562,1,1,0,0,5815.069
31,118613,268,7,02/11/2014,0,0,0,0,0,0.0
32,60310,799,2,27/08/2013,927,1,1,0,1,9429.012
33,328458,260,6,25/10/2014,894,1,0,0,0,7175.6704
34,200661,1041,2,10/03/2015,594,1,0,0,0,5231.8613
35,179581,350,2,18/06/2013,533,1,1,0,0,6489.395
36,587612,286,7,05/04/2015,0,0,0,0,0,0.0
37,320169,620,2,04/06/2013,709,1,1,0,0,7294.3105
38,37194,521,1,17/06/2013,484,1,1,0,0,5710.4077
39,685427,649,4,27/11/2014,435,1,1,0,0,5004.916
40,125422,1059,2,02/06/2015,1239,1,1,0,0,11042.679
41,24499,486,6,28/06/2014,373,1,0,0,0,3402.209
42,281806,252,4,17/10/2013,642,1,0,0,0,6061.4775
43,540511,656,3,15/05/2013,421,1,1,0,0,4404.9507
44,28689,642,5,12/09/2014,394,1,0,0,0,3608.9475
45,165066,655,5,08/05/2015,761,1,1,0,0,7636.2817
46,555963,992,3,26/06/2013,627,1,0,0,0,5286.8413
47,610614,143,2,02/06/2015,731,1,1,0,0,8054.99
48,64013,421,5,18/07/2014,941,1,1,0,1,8116.093
49,30639,246,4,02/10/2014,1157,1,1,0,0,9483.123
50,418604,960,1,28/04/2014,720,1,1,0,0,7812.9287
51,468037,313,5,17/01/2014,697,1,0,0,0,6481.149
52,271589,291,6,29/06/2013,534,1,0,0,0,5585.0137
53,77924,924,6,31/05/2014,333,1,0,0,0,3669.2124
54,247149,337,2,13/08/2013,430,1,1,0,1,5391.163
55,576822,1024,4,12/03/2015,607,1,0,0,0,4667.676
56,108538,56,3,22/01/2014,402,1,1,0,0,4778.2036
57,645670,507,3,09/04/2014,532,1,0,0,0,5063.8447
58,601663,970,5,15/03/2013,406,1,0,0,0,2913.4214
59,502588,846,2,23/06/2015,828,1,0,0,0,6699.7803
60,66732,549,3,27/08/2014,582,1,0,0,0,4847.84
61,627113,1095,4,28/03/2013,852,1,1,0,1,7343.4907
62,691184,859,5,12/04/2013,709,1,1,0,0,6250.4746
63,467913,914,2,29/07/2014,1178,1,1,0,1,11119.073
64,304890,888,2,23/06/2015,634,1,0,0,0,5767.9536
65,274018,442,2,04/11/2014,517,1,1,0,0,5690.171
66,644430,34,6,09/03/2013,905,1,0,0,0,7642.8984
67,669009,199,4,10/07/2014,581,1,0,0,0,6011.1523
68,518722,854,4,04/06/2015,657,1,1,a,0,6148.896
69,505976,611,2,21/01/2014,485,1,1,0,0,6296.6655
70,291572,808,4,09/04/2015,528,1,0,0,1,5979.843
71,39071,1105,4,22/01/2015,410,1,0,0,0,4070.2817
72,319154,866,5,24/04/2015,445,1,0,0,0,4748.322
73,166603,222,6,28/09/2013,367,1,0,0,0,3399.9402
74,428262,476,2,24/09/2013,753,1,1,0,0,6917.8394
75,20314,800,1,26/05/2014,494,1,0,0,0,4498.1553
76,603091,330,1,24/03/2014,408,1,0,0,0,3566.09
77,500421,507,3,07/01/2015,648,1,1,0,0,7130.005
78,388016,98,7,02/06/2013,0,0,0,0,0,0.0
79,268257,1026,2,28/01/2014,1044,1,0,0,0,7234.1436
80,216326,990,5,04/10/2013,719,1,0,0,0,6479.5757
81,40755,8,6,10/01/2015,345,1,0,0,0,3076.825
82,8654,611,3,31/07/2013,566,1,1,0,1,6313.9897
83,37301,257,2,13/08/2013,777,1,1,0,0,7130.407
84,485623,840,4,16/04/2015,1189,1,1,0,0,13177.486
85,214073,848,5,31/07/2015,998,1,1,0,1,10597.364
86,406145,124,6,12/07/2014,297,1,0,0,0,2495.8894
